,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,shapiro_p,normalverteilt
material_mfr,2000.0,0.6911017303584904,0.19551122506485927,0.3,0.556000063330139,0.6955066929825142,0.8198846793765574,1.3357707358735071,0.09548937841333228,-0.2656427255643279,0.0,False
dn_ziel,2000.0,143.85857085648232,61.739669770422,50.0,96.08921465809883,132.31339055631832,176.67359431616566,315.0,0.9345993152681564,0.47925636775472835,0.0,False
wandstaerke_soll,2000.0,2.148795273351974,0.5148188727721537,1.131757046271896,1.7642902938435587,2.055758755257045,2.446876623511497,3.81645831052468,0.7714000406494023,0.2083572046275206,0.0,False
dickentoleranz,2000.0,0.17459271673285648,0.07267405666296196,0.0501123815185638,0.1102170537830714,0.17643416513232665,0.23592062268804004,0.2998665276016722,-0.015353169004059088,-1.2028545061012705,0.0,False
produktionsgeschwindigkeit_soll,2000.0,10.395652752246715,2.458928576054323,2.459679364563282,8.82655864374156,10.3332024761396,12.0012107491052,17.0,-0.05212361505368312,0.04520390889549786,0.04067,False
ovalitaet_anforderung,2000.0,0.653398310053704,0.2050975481146762,0.3000354389192,0.4718872205184962,0.6626183175264722,0.8317698595278058,0.9996343298201558,-0.04152822979018976,-1.245081177417767,0.0,False
schneckendrehzahl,2000.0,44.12771638010691,7.365883143832625,23.343707303119725,39.0137488223293,43.72927952991648,48.57368159040857,74.8375895138828,0.4077665685957613,0.304671202073469,0.0,False
massetemperatur,2000.0,204.3196821038886,5.79845809592373,190.0,200.48256209957833,204.35993599354956,208.0290834352525,226.5281288355488,0.13566857904776647,0.010154177406009435,0.00253,False
duesenspalt,2000.0,2.2567242194122166,0.6503030023675614,0.9033740266394068,1.7818768349196756,2.143763764268426,2.634191408274817,4.2,0.7763468793759609,0.29859373049601334,0.0,False
vakuumniveau,2000.0,97.95745180260236,17.6062699683986,44.72708353492973,85.69542141108009,98.03979614575594,109.92975958856465,130.0,-0.10864313881919606,-0.4438199100929183,0.0,False
innenluftdruck,2000.0,79.87878023609606,17.05395558921795,11.511006933829922,68.76706579867144,81.02204266515926,92.00155960133745,110.0,-0.4610447834052814,0.011421149305564704,0.0,False
kuehlwassertemperatur,2000.0,19.0582641217583,2.909668097574754,8.159215576736162,17.131431554143383,19.000303903811833,20.97467726683128,28.0,0.06172806388041876,0.2231093206560706,0.04888,False
