rohr_dn_latent,wandstaerke_ideal_latent
160,3.17490518463181
110,2.1995402283582237
90,2.3406313649480643
50,1.9033292585388357
90,2.1568984798545663
160,3.074801964651913
125,2.0375620355414696
50,1.5707496376764434
63,1.9213248459879309
90,2.2186765402471127
63,1.5730414992850184
250,3.955941694019819
110,1.9395451742198282
63,1.817948926025913
125,2.2175007398159763
90,2.2495716764181357
75,2.0774087291076113
110,2.2488449778390254
50,1.6781913895681133
90,2.0474351913909237
160,2.95628625925223
250,3.8279110865135273
75,1.9933738934859864
110,2.073822215466338
75,1.6255104756505927
110,2.3017107524999516
75,1.868313508058308
110,2.3608452595827627
63,1.6585738764645506
250,4.0
200,3.424090748406916
75,1.9349322667774338
125,2.529585081611057
63,1.9064364803422116
125,2.5864026121726695
75,1.9663026849562417
63,1.8663976157298385
110,2.0463078044429217
90,1.8119728524121335
90,2.0685911882047834
90,2.0503489175977148
50,1.6869714766072312
50,1.603002535327526
110,2.407279740168132
110,2.1331607095658076
50,1.598388314438696
90,1.8788414893063323
110,2.3780286901557104
110,2.038257243645502
160,2.9722465147811317
90,1.8596500928654331
110,2.262470831016731
110,2.4542391537173875
75,1.9341069982897625
50,1.353150966441355
50,1.4991409232958965
160,2.6947932211784797
63,1.501786225059221
110,2.3376494764200966
110,2.4040447515340158
90,2.1460908881073535
160,3.0103940222319627
110,2.3182133723671274
50,1.558991467187505
125,2.339039600940653
90,2.013988049237425
75,1.7017977422010744
125,2.373225170930962
110,2.3333390305657065
75,1.8823290868688616
315,4.0
110,2.1181306603742494
110,2.301235191875233
50,1.3864401833194415
75,1.8418321186045072
90,2.0279360226827223
110,2.446732003934971
90,2.012550019117312
125,2.4713020599915763
75,1.835452305629167
125,2.2898422383914188
160,2.822184644231034
125,2.4427094927374275
125,2.5110738825109578
200,3.4838420930837235
50,1.5648105235433456
110,2.282173560402798
250,3.741878026226942
110,2.400960177588453
63,1.6516153169274939
315,4.0
63,1.9534659921781294
75,1.8718127459960492
63,1.602503307885116
90,2.0774952080370555
90,2.132305299702796
90,2.032671999812992
250,3.9153942385931013
90,2.164529831604612
90,2.154636741204129
200,3.348056553950926
160,2.6718900752108965
75,1.9684567278069178
50,1.4849009209837936
110,2.352151161305547
160,2.9426735847518555
110,2.0366578859436006
63,1.768162252661736
125,2.5771798788061684
110,2.4155728622965733
110,2.3376048626644472
160,2.6234220934075614
125,2.6915621593279955
110,2.381653400131387
110,2.1395021005944286
110,2.201835543976259
90,2.114683631394178
90,2.1819676289947383
125,2.426805571547845
110,2.4438288111068616
90,1.8110849756349734
63,1.599631148335932
125,2.1903453985236876
110,2.185389228569546
75,2.126211577681614
75,2.20867033518781
75,1.9351885702345664
250,3.9042356189097167
160,2.8867540148723583
110,2.3910009836249535
90,1.8455528722541377
125,2.4141251236028194
90,2.295233961167537
315,4.0
50,1.4876462651107687
50,1.601979048397216
110,2.362471338925707
63,1.6622493930700792
110,2.3315446574877936
125,2.591190930060916
63,2.050217773564547
90,2.061063343084783
110,2.313805402698916
160,3.1491178518969267
90,1.9976251212552858
63,1.5573470450856728
110,2.3575373463488445
90,2.2414262537631875
125,2.554157070279953
110,2.3054476513679134
75,1.6827409940297742
125,2.491244613209744
90,2.2649732389474506
63,1.5708824377691168
110,2.2832879239295094
250,3.941877290176246
125,2.3953443144043383
75,1.9371884506778507
125,2.5664957861884012
75,1.9649240357190154
110,2.1734785354577317
90,1.8331024458499476
75,1.939358265479609
75,1.8241121437776022
250,4.0
75,2.182676454402242
125,2.798603469159406
110,2.178983364844793
90,2.165405363011314
63,1.8866428775877226
63,1.8697531350316603
63,1.7028403083709212
110,2.511874735444799
315,4.0
160,2.9392159187403157
50,1.3693249822334286
75,1.9967147454359482
63,1.7169382429641384
315,4.0
75,1.9352670549706927
63,1.7831404864995657
110,2.3131429641299976
110,2.437989960199068
75,1.87016611946724
110,2.101720387082053
63,1.8413433409560902
50,1.4786491712632543
50,1.401360723597679
75,1.7466634998786101
315,4.0
110,2.3055221795357728
125,2.180097545549073
75,1.8424516085420994
125,2.6753846837462145
250,3.9323056493599933
75,1.875178516985861
315,4.0
110,2.4393233887306804
125,2.6532626631477565
75,1.4841169584919445
110,2.5800284557663167
90,2.1754600653141893
250,4.0
200,3.2826510953838572
90,1.8154824091526636
250,4.0
200,3.358694150536426
110,2.4180495975422236
50,1.7612392516879534
63,1.7429058782680755
50,1.5638937931280912
63,1.8344079729274192
315,4.0
63,1.7050026848654818
110,2.475570240801293
110,2.5089666785355362
110,2.4825949365794644
63,1.7307655430911713
110,1.9990316518370228
110,2.297769087041073
110,2.206302998098443
63,1.7365412471484118
125,2.3993363660923586
50,1.59688902168016
110,2.1641086556152658
90,1.8878923844922433
75,2.0834037223856336
125,2.354551357994852
63,1.756049743788453
250,4.0
200,3.537145618934436
75,2.0192272307373025
75,1.9454299771752301
63,1.8646004962805274
200,3.6059632198909233
110,2.383753389099306
50,1.3244196479778725
90,2.0007200190774856
50,1.7044555107583133
110,2.2259356099435896
90,2.3230159209187966
50,1.5905230257750353
160,2.9327873157039153
75,2.0687116298352604
110,2.2925725154036063
110,2.3464415553592284
250,4.0
90,1.8591594076249471
200,3.3572052756418675
75,2.024372994306868
160,2.929840022251389
75,2.120100071811622
125,2.2636114962719622
50,1.34649973480808
315,4.0
250,4.0
90,2.051012498975225
90,2.140059160006859
110,2.431781046644711
75,1.777920519122238
110,2.2139727437426053
110,2.348458926879796
90,2.215613343984058
63,1.5811064610463024
200,3.370307855209747
63,1.7193645052443343
110,2.3826938657564147
63,1.7546952444986748
63,1.6741174624295712
50,1.787284867113611
75,1.8191113777568768
110,2.2761855455467823
90,1.8412753546120566
110,2.212956118473116
110,2.397411411450858
63,1.804090293453229
50,1.6899275485098644
110,2.402647342891851
110,2.6331571054442735
110,2.207821175882964
75,1.6570864384847817
160,2.7624170505892716
50,1.4944522246252614
110,2.1738509595074635
63,1.7700491271467282
